company,username,esg_company
Tokio Marine Holdings,,Tokio Marine Holdings
Tokyo Electric Power,,Tokyo Electric Power Company Inc
Tokyo Electron,,Tokyo Electron Limited
Tokyo Gas,,Tokyo Gas Company Limited
Tokyo Kiraboshi Financial Group,,Tokyo TY Financial Group Inc
Tokyu,,"TOKYU CONSTRUCTION CO., LTD."
Toll Brothers,tollbrothers,"Toll Brothers, Inc."
Tongling Nonferrous Metals,,"Tongling Nonferrous Metals Group Co., Ltd."
Top Frontier Investment Holdings,,TOP FRONTIER INVESTMENT HOLDINGS INC.
Toppan Printing,,Toppan Printing Company Limited
Toray Industries,,"TORAY INDUSTRIES, INC."
Toshiba,,TOSHIBA CORPORATION
Tosoh,,Tosoh America Inc.
Total,,Total Petrochemicals
Towngas,,TOWNGAS CHINA CO. LTD.
Toyota Industries,,TOYOTA INDUSTRIES CORPORATION
Lexus,,Toyota Motor Corp.
Toyota Motor,,Toyota Motor Corp.
Toyota Tsusho,,Toyota Tsusho UK Ltd
"TOYS ""R"" US",toysrus,Toys R Us
Tractor Supply,,Tractor Supply Company
Trane Technologies,,Trane Technologies PLC
TransDigm Group,,TransDigm Holding Company
Transneft,,Transneft
TransUnion,,TRANSUNION
Transurban Group,,TRANSURBAN GROUP
Trimble,,Trimble Navigation Limited
Trip.com Group,,Trip.com Group Limited
Truist Financial,,Truist Financial Corporation
TUI,,TUI AG
Turkish Airlines,,Turkish Airlines
Garanti Bank,,Turkiye Garanti Bankasi A.S.
Halkbank,,Turkiye Halk Bankasi AS
Isbank,,Turkiye Is Bankasi A.S.
VakifBank,,Turkiye Vakiflar Bankasi T.A.O.
Twilio,,Twilio Inc
Twitter,,Twitter
Tyson Foods,tysonfoods,"Tyson Foods, Inc."
US Bancorp,,U.S. Bancorp
United Airlines,,UAL Corporation
Uber,,Uber
UBI Banca,,UBI Banca
UBS,,UBS AG
UCB,,UCB SA
UGI,,UGI Corporation
Ulta Beauty,,Ulta Beauty Inc
Ultrapar Participacoes,,Ultrapar Participacoes S.A.
Umicore,,Umicore SA
Unicharm,,Uni Charm Corporation
Unicaja Banco,,Unicaja
UniCredit,,UniCredito Italiano S.p.A.
Unilever,,Unilever PLC
Union Bank of India,,Union Bank of India
Union Pacific,,Union Pacific Corporation
Unipol Gruppo,,Unipol
Uni-President,,Uni-President China Holdings Ltd.
Uniqa,,UNIQA Versicherungen AG
United Airlines Holdings,,United Airlines Holdings Inc
United Overseas Bank,,United Overseas Bank
United Parcel Service,ups,"United Parcel Service, Inc."
United Rentals,united.rentals,"United Rentals, Inc."
USAA,usaa,United Services Automobile Association
US Steel,,United States Steel Corporation
United Utilities,,United Utilities plc
Optum,,UnitedHealth Group Incorporated
UnitedHealth Group,unitedhealthcare,UnitedHealth Group Incorporated
Universal,,Universal Corporation
Universal Health,,"Universal Health Services, Inc."
Unum,,UNUM Group
UPM-Kymmene,,UPM-Kymmene OYJ
US Foods,,"US Foods, Inc."
Vale,,Vale
Valeo,,Valeo SA
Valero Energy,valeroenergy,Valero Energy Corporation
Vanguard,,Vanguard
Vedanta Limited,,Vedanta Limited
Veeva Systems,,Veeva Systems Inc
Ventas,,"Ventas, Inc."
Veolia Environnement,,Veolia Environnement
VEON,,VEON Ltd.
Verbund,,Verbund-Osterreichische
VeriSign,,"VeriSign, Inc."
Verisk Analytics,,Verisk Analytics Inc.
Verizon Communications,verizon,Verizon Communications Inc.
Vertex Pharmaceuticals,,Vertex Pharmaceuticals Incorporated
Vestas Wind Systems,,Vestas Wind Systems
CBS,,CBS Broadcasting Inc
ViacomCBS,,ViacomCBS Inc.
VICI Properties,,VICI PROPERTIES INC.
Victoria,,Victoria
Vienna Insurance Group,,Vienna Insurance Group
VINCI,,Vinci SA
Vingroup,,Vingroup Joint Stock Company
Vipshop Holdings,,Vipshop Holdings Ltd
Visa,visa_us,Visa International
Vistra Energy,,Vistra Energy Corp
VMware,,"VMware, Inc."
Vodafone,,Vodafone Group Inc.
Volkswagen Group,,Volkswagen AG
Volvo Group,,Volvo AB
Vonovia,,Vonovia SE
Vornado Realty,,Vornado Realty Trust
Voya Financial,,Voya Financial
VTB Bank,,VTB Bank JSC
Vulcan Materials,,Vulcan Materials Company
W.P. Carey,,W. P. Carey & Co. LLC
WR Berkley,,W. R. Berkley Corporation
WW Grainger,,"W.W. Grainger, Inc."
Westinghouse Air Brake Technologies,,Wabtec
Walgreens Boots Alliance,walgreens,Walgreen Co.
Walmart,,"Wal-Mart Stores, Inc."
Sam's Club,,"Wal-Mart Stores, Inc."
Asda,,"Wal-Mart Stores, Inc."
Wanhua Chemical Group,,"Wanhua Chemical Group Co.,Ltd."
Want Want China,,Want Want Holdings Ltd
Warner Bros,,Warner Music Group
Waste Connections,,Waste Connections Inc.
Waste Management,wastemanagement,"Waste Management, Inc."
Wawa,,Wawa Inc
Weatherford International,,Weatherford International Ltd.
Weichai Power,,Weichai Power Co. Ltd.
Wells Fargo,wellsfargo,Wells Fargo & Co.
Welltower,,WELLTOWER INC.
Wens Foodstuff Group,,Wens Foodstuff Group Co Ltd
Wesfarmers,,WESFARMERS LIMITED
West Japan Railway,,West Japan Railway
Western Digital,westerndigital,Western Digital Corp.
Westlake Chemical,,Westlake Chemical Corporation
Westpac Banking Group,,Westpac Banking Corporation
WestRock,,WestRock Company
Weyerhaeuser,,Weyerhaeuser Company
WH Group,,WH Group Limited
Wheaton Precious Metals,,Wheaton Precious Metals
Wheelock,,Wheelock And Company Limited
Whirlpool,whirlpoolusa,Whirlpool Corporation
Whole Foods,wholefoods,"Whole Foods Market, Inc."
Will Semiconductor,,Will Semiconductor Co Ltd Shanghai
Willis Towers Watson,,Willis Towers Watson PLC
Wilmar International,,Wilmar International Ltd.
Wintrust Financial,,Wintrust Financial Corporation
Wipro,,Wipro Ltd.
WEC Energy Group,,Wisconsin Energy Corporation
Wm Morrison Supermarkets,,WM MORRISON SUPERMARKETS PLC
Wrigley,,Wm. Wrigley Jr. Company
Wolters Kluwer,,Wolters Kluwer
Woodside Petroleum,,Woodside Petroleum Limited
Woolworths,,WOOLWORTHS GROUP PLC
Woori Financial Group,,Woori Bank
Workday,,"Workday, Inc."
WPG Holdings,,WPG HOLDINGS LTD.
WPP,,WPP Group
Wuchan Zhongda Group,,"Wuchan Zhongda Group Co., Ltd."
Wuestenrot & Wuerttembergische,,Wuestenrot & Wuerttembergische AG
Wuliangye Yibin,,"Wuliangye Yibin Co., Ltd."
Wuxi Apptec,,WuXi AppTec Co Ltd
Wuxi Biologics,,Wuxi Biologics Cayman Inc
Wynn Resorts,,"Wynn Resorts, Limited"
X5 Retail Group,,X5 Retail Group NV
Xcel Energy,excelenergy,Xcel Energy Inc.
Xerox,xerox,Xerox Corporation
Xiamen C&D,,XIAMEN C&D INC
Xiaomi,,Xiaomi Inc
Xilinx,,"Xilinx, Inc."
Xinyu Iron & Steel,,"Xinyu Iron & Steel Co.,Ltd"
XPO Logistics,,"XPO Logistics, Inc."
Yamada Denki,,Yamada Denki Company Limited
Yamaha Motor,,Yamaha Motor Company Limited
Yamato Holdings,,Yamato Holdings Company Limited
Yango Group,,"Yango Group Co., Ltd."
Yanzhou Coal Mining,,Yanzhou Coal Mining Co. Ltd.
Yara International,,Yara International ASA
Yes Bank,,Yes Bank Ltd.
Yeti,,"YETI Holdings, Inc."
Yonghui Superstores,,"Yonghui Superstores Co., Ltd."
Yonyou Network Technology,,Yonyou Network Technology Co. Ltd.
Youku,,Youku Tudou Inc (ADR)
YouTube,,YouTube
YPF,,YPF SA
Yuanta Financial Holding,,Yuanta Financial Holding Co. Ltd.
Yum China Holdings,kfc,Yum China Holdings Inc
Yum! Brands,,"YUM! Brands, Inc."
Yunnan Baiyao Group,,"YUNNAN BAIYAO GROUP CO., LTD"
Yuzhou Properties,,Yuzhou Properties Company Limited
Zain,,Zain Group
Zalando,,Zalando SE
Zenith Bank,,ZENITH INTERNATIONAL BANK PLC
Zhejiang Century Huatong Group,,Zhejiang Century Huatong Automotive Part Co Ltd
Zhejiang Zheneng Electric Power,,"Zhejiang Zheneng Electric Power Co., Ltd."
Zhongsheng Group Holdings,,ZHONGSHENG GROUP HOLDINGS LIMITED
Zijin Mining Group,,Zijin Mining Group (H)
Zimmer Biomet,,Zimmer Biomet
Zions Bancorp,,Zions Bancorporation
Zoetis,,Zoetis Inc.
zoom,,Zoom Corp
ZTE,,ZTE Corporation
Zurich,,Zurich
Zurich Insurance Group,,Zurich Financial Services
